Book Name,Book Author,Price,URL
Manifest der Kommunistischen Partei.,"MARX, Karl, & Friedrich Engels.","£1,500,000.00",https://www.peterharrington.co.uk/manifest-der-kommunistischen-partei.html
"Comedies, Histories and Tragedies.","SHAKESPEARE, William.","£1,250,000.00",https://www.peterharrington.co.uk/comedies-histories-and-tragedies-163038.html
Arcano del mare.,"DUDLEY, Robert.","£950,000.00",https://www.peterharrington.co.uk/dell-arcano-del-mare-162852.html
Das Kapital. Kritik der politischen Oekonomie.,"MARX, Karl.","£850,000.00",https://www.peterharrington.co.uk/das-kapital-kritik-der-politischen-oekonomie-116802.html
Transactions of the Royal Humane Society from 1774 to 1784:,"WASHINGTON, George - HAWES, William (ed.).","£700,000.00",https://www.peterharrington.co.uk/transactions-of-the-royal-humane-society-from-1774-to-1784-164367.html
"Mr. William Shakespeares Comedies, Histories, and Tragedies.","SHAKESPEARE, William.","£460,000.00",
Cosmographia.,"PTOLEMAEUS, Claudius.","£450,000.00",https://www.peterharrington.co.uk/cosmographia-142241.html
"Canon medicinae, libri I-V.","IBN SINA, known in the West as AVICENNA.","£325,000.00",https://www.peterharrington.co.uk/canon-medicinae-libri-i-v-165088.html
"Égypte, Nubie, Palestine et Syrie:","DU CAMP, Maxime.","£300,000.00",https://www.peterharrington.co.uk/egypte-nubie-palestine-et-syrie-124632.html
"On the Origin of Species by Means of Natural Selection,","DARWIN, Charles.","£300,000.00",https://www.peterharrington.co.uk/on-the-origin-of-species-by-means-of-natural-selection-146564.html
Capital: A Critical Analysis of Capitalist Production.,"MARX, Karl.","£275,000.00",https://www.peterharrington.co.uk/capital-a-critical-analysis-of-capitalist-production-153238.html
Leaves of Grass.,"WHITMAN, Walt.","£265,000.00",https://www.peterharrington.co.uk/leaves-of-grass-143598.html
"Discours de la méthode pour bien conduire sa raison, & chercher la vérité dans les sciences.","DESCARTES, René.","£250,000.00",https://www.peterharrington.co.uk/discours-de-la-methode-pour-bien-conduire-sa-raison-chercher-la-verite-dans-les-sciences-160996.html
Kitab Alf layla wa-layla (One thousand and one nights).,ALF LAYLA WA-LAYLA.,"£250,000.00",https://www.peterharrington.co.uk/kitab-alf-layla-wa-layla-one-thousand-and-one-nights-150543.html
Regimiento de navegacion.,"MEDINA, Pedro de.","£225,000.00",https://www.peterharrington.co.uk/regimiento-de-navegacion-139149.html
The Catcher in the Rye.,"SALINGER, J. D.","£225,000.00",https://www.peterharrington.co.uk/the-catcher-in-the-rye-158632.html
