Book Name,Book Author,Price,URL
The Adventures of The Christmas Pudding,Agatha Christie,£390.00,https://rareandantiquebooks.com/first-edition-books/agatha-christie-2/
Ordeal by Innocence 1st ed.,Agatha Christie,£135.00,https://rareandantiquebooks.com/first-edition-books/ordeal-by-innocence-1st-ed-by-agatha-christie/
Cards on the Table,Agatha Christie,£850.00,https://rareandantiquebooks.com/first-edition-books/agatha-christie/
Lord of the Rings Set,J. R. R. Tolkien,"£2,250.00",https://rareandantiquebooks.com/first-edition-books/tolkien/
Burmese Days,George Orwell,"£9,000.00",https://rareandantiquebooks.com/first-edition-books/george-orwell/
Carry on Jeeves,P. G. Wodehouse,£600.00,https://rareandantiquebooks.com/first-edition-books/wodehouse/
Casino Royale,Ian Fleming,£600.00,https://rareandantiquebooks.com/first-edition-books/casino-royale/
Little Dorrit,Charles Dickens,£675.00,https://rareandantiquebooks.com/first-edition-books/little-dorrit/
Traffics and Discoveries,Rudyard Kipling,£220.00,https://rareandantiquebooks.com/first-edition-books/traffics/
Of Mice and Men,John Steinbeck,£650.00,https://rareandantiquebooks.com/first-edition-books/john-steinbeck/
The Tale of Peter Rabbit,Beatrix Potter,"£4,000.00",https://rareandantiquebooks.com/first-edition-books/peter/
Poems,W. B Yeats,£180.00,https://rareandantiquebooks.com/first-edition-books/yeats/
A Fierce Bad Rabbit,Beatrix Potter,£350.00,https://rareandantiquebooks.com/first-edition-books/rabbit/
The Hunchback of Notre Dame,Hugo Victor,"£2,500.00",https://rareandantiquebooks.com/first-edition-books/hunchback/
Peter Rabbit’s Almanac for 1929,Beatrix Potter.,"£1,500.00",https://rareandantiquebooks.com/first-edition-books/almanac/
Chance signed,Joseph Conrad,£700.00,https://rareandantiquebooks.com/first-edition-books/chance/
The Haunted Man,Charles Dickens,£550.00,https://rareandantiquebooks.com/first-edition-books/haunted/
The Silver Chair,C. S. Lewis,£800.00,https://rareandantiquebooks.com/first-edition-books/silver/
The Island of Dr Moreau,H. G. Wells,"£2,000.00",https://rareandantiquebooks.com/first-edition-books/moreau/
The Tale of Pigling Bland,Beatrix Potter,£750.00,https://rareandantiquebooks.com/first-edition-books/pigling/
