Book Name,Book Author,Price,URL
Travels Into Several Remote Nations of the World,"Gulliver, Lemuel; [Swift, Jonathan]","£55,000",https://www.templerarebooks.com/eighteenth-century-2/travels-into-several-remote-nations-of-the-world
Huit Jours Chez M. Renan,Maurice Barres,"£1,250",https://www.templerarebooks.com/fine-bindings-1/huit-jours-chez-m-renan
The Revelation of Saint John the Divine,Blair Hughes-Stanton,"£1,500",https://www.templerarebooks.com/private-press-1/the-revelation-of-saint-john-the-divine
Laudes Creaturarum,Matthew Arnold,"£1,250",https://www.templerarebooks.com/private-press-1/laudes-creaturarum
Paris Au Hasard,Georges Montorgueil,"£1,750",https://www.templerarebooks.com/fine-bindings-1/paris-au-hasard
Odipus Der Tyrann,Sophocles,£750,https://www.templerarebooks.com/fine-bindings-1/odipus-der-tyrann
Thucydides [History of the Peloponnesian War],Thucydides,"£4,500",https://www.templerarebooks.com/private-press-1/thucydides-history-of-the-peloponnesian-war
Illustrations of Masonry,William Preston,"£3,500",https://www.templerarebooks.com/fine-bindings-1/illustrations-of-masonry
The Natural History of Barbados - In Ten Books,"Hughes, Griffith","£3,000",https://www.templerarebooks.com/eighteenth-century-2/the-natural-history-of-barbados-in-ten-books
Poesies,Paul Verlaine,"£2,500",https://www.templerarebooks.com/fine-bindings-1/poesies
The River War - An Historical Account of the Reconquest of the Soudan,"Churchill, Winston S. (Rhodes, Col. F. (Ed.))","£3,500",https://www.templerarebooks.com/travel-1/the-river-war-an-historical-account-of-the-reconquest-of-the-soudan
Memoirs of Extraordinary Popular Delusions,Charles Mackay,"£10,000",https://www.templerarebooks.com/philosophy-1/memoirs-of-extraordinary-popular-delusions
The Seasons,Thompson James,"£7,500",https://www.templerarebooks.com/fine-bindings-1/the-seasons
The Tale of Mr Tod,"Potter, Beatrix","£1,750",https://www.templerarebooks.com/childrens-and-illustrated-1/the-tale-of-mr-tod-1
"The Topography of Troy, and Its Vicinity; Illustrated and Explained By Drawings and Descriptions",William Gell,"£5,000",https://www.templerarebooks.com/colour-plate-1/the-topography-of-troy-and-its-vicinity-illustrated-and-explained-by-drawings-and-descriptions
"The Castle of Otranto, a Gothic Story",Horace Walpole,"£6,500",https://www.templerarebooks.com/fine-bindings-1/the-castle-of-otranto-a-gothic-story
"Moby-Dick; or, The Whale",Herman Melville,"£12,500",https://www.templerarebooks.com/modern-firsts-1/moby-dick-or-the-whale
Salome,"Wilde, Oscar",£800,https://www.templerarebooks.com/modern-firsts-1/salome
Homage to Catalonia,"Orwell, George","£12,500",https://www.templerarebooks.com/modern-firsts-1/homage-to-catalonia
The Tomb of Tut-Ankh-Amen Discovered By the Late Earl of Carnarvon and Howard Carter,"Carter, Howard and Mace, A.C","£9,000",https://www.templerarebooks.com/travel-1/the-tomb-of-tut-ankh-amen-discovered-by-the-late-earl-of-carnarvon-and-howard-carter
Our Village,"Thomson, Hugh","£1,750",https://www.templerarebooks.com/fine-bindings-1/our-village
Description De l'Egypt,1461,"£225,000",https://www.templerarebooks.com/ancient-history-1/description-de-legypt
King Solomon's Mines,H. Rider Haggard,"£3,000",https://www.templerarebooks.com/literature-1/king-solomons-mines
Noctium Atticarum WITH Annotationes Petri Mosellani Protogensis in Clarissimas Auli Gellii Noctes Atticas,Aulus Gellius,"£1,950",https://www.templerarebooks.com/classics-1/noctium-atticarum-with-annotationes-petri-mosellani-protogensis-in-clarissimas-auli-gellii-noctes-atticas
The Witch of Knaresbro'. An Historical Romance,F. Rylstone Var,"£2,000",https://www.templerarebooks.com/fine-bindings-1/the-witch-of-knaresbro-an-historical-romance
