Book Name,Book Author,Price,URL
Meteorology Practical and Applied,by John Moore,"£1,701.99",https://wob.com/en-gb/rare-books/john-moore/meteorology-practical-and-applied/1693828446IEV
Wall Street Ventures and Adventures Through Forty Years,by Richard D Wyckoff,"£1,418.49",https://wob.com/en-gb/rare-books/richard-d-wyckoff/wall-street-ventures-and-adventures-through-forty-years/1690798731TMB
"The Log: Stalag Luft III, 1939 - 1945",by Bryce Cousens (ed.),"£1,080.99",https://wob.com/en-gb/rare-books/bryce-cousens-ed/the-log-stalag-luft-iii-1939-1945/1695047600IEV
The Royal Universal Family Bible Volume 2,by John Herries,£900.99,https://wob.com/en-gb/rare-books/john-herries/the-royal-universal-family-bible-volume-2/1697459536ABS
The Royal Universal Family Bible Volume 1,by John Herries,£900.99,https://wob.com/en-gb/rare-books/john-herries/the-royal-universal-family-bible-volume-1/1697459410ABS
Symbolic Logic,by John Venn,£855.99,https://wob.com/en-gb/rare-books/john-venn/symbolic-logic/1699603475MHP
Death On The Nile,by Agatha Christie,£810.99,https://wob.com/en-gb/rare-books/agatha-christie/death-on-the-nile/1695811960CRX
Golf Is My Game [Signed],by Bobby Jones,£675.99,https://wob.com/en-gb/rare-books/bobby-jones/golf-is-my-game-signed/1698940695DPB
Several Discourses Upon the Existence and Attributes of God,by Stephen Charnocke,£650.99,https://wob.com/en-gb/rare-books/stephen-charnocke/several-discourses-upon-the-existence-and-attributes-of-god/1702994336MHP
World Trade and the Law of Gatt,by John H Jackson,£646.39,https://wob.com/en-gb/rare-books/john-h-jackson/world-trade-and-the-law-of-gatt/1701709001DPB
"The Works of Jane Austen in Seven Volumes [Illustrated by Maximilien Vox]: Pride and Prejudice, Emma, Mansfield Park, Northanger Abbey, Persuasion, Sense and Sensibility, and Sanditon and Other Miscel",by Jane Austen,£630.99,https://wob.com/en-gb/rare-books/jane-austen/the-works-of-jane-austen-in-seven-volumes-illustrated-by-maximilien-vox-pride-an/1700060268ANA
"Logick: Or, The Right Use of Reason in The Enquiry after Truth [Third Edition]",by Isaac Watts,£621.09,https://wob.com/en-gb/rare-books/isaac-watts/logick-or-the-right-use-of-reason-in-the-enquiry-after-truth-third-edition/1694090381DPB
"Letters On Marriage, On The Causes Of Matrimonial Infidelity, And On The Reciprocal Relations Of The Sexes Volume 2",by Henry Thomas Kitchener,£540.99,https://wob.com/en-gb/rare-books/henry-thomas-kitchener/letters-on-marriage-on-the-causes-of-matrimonial-infidelity-and-on-the-reciproca/1699610668ABS
"The Life Of The Rev. John Wesley, M. A. Some Time Fellow Of Lincoln College Oxford... With The Life Of The Rev. Charles Wesley, M. A. ... The Whole Forming A History Of Methodism, Volume 1",by John Whitehead,£540.99,https://wob.com/en-gb/rare-books/john-whitehead/the-life-of-the-rev-john-wesley-m-a-some-time-fellow-of-lincoln-college-oxford-w/1699544628GEO
"Backgammon Up to Date, with Thumb Index and 27 Diagrams","by ""Bar Point""",£499.39,https://wob.com/en-gb/rare-books/bar-point/backgammon-up-to-date-with-thumb-index-and-27-diagrams/1694603873ADA
Rebecca - A Play In Three Acts,by Daphne Du Maurier,£486.99,https://wob.com/en-gb/rare-books/daphne-du-maurier/rebecca-a-play-in-three-acts/1697180001ALK
The Self You Have To Live With,by Winfred Rhoades,£462.69,https://wob.com/en-gb/rare-books/winfred-rhoades/the-self-you-have-to-live-with/1693317727ABS
"Sive Biblia Hebraica Ex Aliquot Manuscriptis Et Compluribus Impressis Codicibus, Item Masora Tam Edita, Quam Manuscripta, Aliisque Hebraeorum Criticis Diligenter Recensita - Tom I",by Io. Heinr. Michaelis,£450.99,https://wob.com/en-gb/rare-books/io-heinr-michaelis/sive-biblia-hebraica-ex-aliquot-manuscriptis-et-compluribus-impressis-codicibus/1700844288MXP
